n,xa,phat_a,variance_a,sigma_a,cdf_probability,relative_gain
213,15,0.0704225352112676,0.000307338975331856,0.0175310859712642,0.0880472120429687,0.00451695332015077
214,15,0.0700934579439252,0.000304581145314899,0.0174522533019349,0.0846580508535048,0.00449673622378385
215,15,0.0697674418604651,0.000301860213566101,0.0173741248287821,0.0813778878128451,0.00447669832664109
216,15,0.0694444444444444,0.000299175525834477,0.017296691181682,0.078204330071001,0.00445683727169717
217,15,0.0691244239631336,0.000296526442280639,0.0172199431555577,0.0751349787027579,0.00443715074277282
218,15,0.0688073394495413,0.000293912337098243,0.0171438717067716,0.0721674325531898,0.0044176364636598
219,15,0.0684931506849315,0.000291332598146953,0.0170684679496126,0.0692992918904032,0.00439829219727312
220,15,0.0681818181818182,0.000288786626596544,0.0169937231528745,0.0665281618676499,0.00437911574481919
221,15,0.0678733031674208,0.000286273836581738,0.0169196287365219,0.0638516557969242,0.00436010494498821
222,16,0.0720720720720721,0.000301250849095992,0.0173565794180763,0.0971239718887427,-0.0258250750272815
223,16,0.0717488789237668,0.000298659091017711,0.0172817560166122,0.0935383145235064,0.00431095319313091
224,16,0.0714285714285714,0.000296100583090379,0.0172075734224898,0.0900617858606959,0.00429253798346676
225,16,0.0711111111111111,0.00029357475994513,0.0171340234605048,0.0866922273105842,0.00427427855044804
226,16,0.0707964601769911,0.000291081068156632,0.0170610980935177,0.083427463643611,0.00425617293890562
227,16,0.0704845814977974,0.000288618965942193,0.0169887894195611,0.080265306834727,0.00423821922599438
228,16,0.0701754385964912,0.000286187922869655,0.0169170896690198,0.0772035597444522,0.00422041552053328
229,16,0.0698689956331878,0.000283787419573788,0.0168459912018791,0.0742400196362828,0.00420275996236345
230,16,0.0695652173913043,0.000281416947480891,0.0167754865050433,0.0713724815316424,0.00418525072172009
231,16,0.0692640692640693,0.000279076008541348,0.0167055681897189,0.0685987414023728,0.00416788599862075
232,16,0.0689655172413793,0.000276764114969864,0.0166362289888623,0.065916599202945,0.0041506640222659
233,17,0.0729613733905579,0.000290291894349878,0.0170379545236474,0.098859616334589,-0.0241476319575811
234,17,0.0726495726495727,0.000287912872835073,0.0169679955455874,0.0953060408754635,0.00410606672079953
235,17,0.0723404255319149,0.00028556292921607,0.0168986073158728,0.0918572713285505,0.00408935926038863
236,17,0.0720338983050847,0.000283241592373125,0.0168297828973854,0.0885113320662329,0.00407278642558853
237,17,0.0717299578059072,0.000280948400671181,0.0167615154646345,0.0852662293296653,0.00405634660691173
238,17,0.0714285714285714,0.000278682901732121,0.0166937983015287,0.0821199547218897,0.00404003822021367
239,17,0.0711297071129707,0.000276444652213363,0.0166266247991997,0.079070488563574,0.00402385970620011
240,17,0.0708333333333333,0.000274233217592593,0.0165599884538786,0.0761158031101635,0.00400780952994848
241,17,0.0705394190871369,0.000272048171958449,0.0164938828648214,0.0732538656306653,0.00399188618043509
242,17,0.0702479338842975,0.000269889097806962,0.0164283017322839,0.0704826413480533,0.00397608817007972
243,17,0.0699588477366255,0.000267755585843577,0.0163632388555438,0.0678000962424634,0.0039604140342938
244,17,0.069672131147541,0.000265647234790577,0.0162986881309686,0.0652041997177283,0.0039448623310458
245,18,0.073469387755102,0.000277843415583643,0.0166686356845317,0.0968741373194618,-0.0226979957276525
246,18,0.0731707317073171,0.0002756779501168,0.0166035523342687,0.0934560163007814,0.00390453972926838
247,18,0.0728744939271255,0.000273537660170003,0.0165389739757339,0.0901368408905465,0.00388943023966825
248,18,0.0725806451612903,0.000271422157698634,0.0164748947704874,0.0869147767259044,0.00387443654851254
249,18,0.072289156626506,0.000269331062091303,0.0164113089694669,0.0837879735887357,0.00385955733899292
250,18,0.072,0.000267264,0.0163482109112893,0.0807545684673841,0.00384479131402026
251,18,0.0717131474103586,0.000265220605174736,0.0162855950205922,0.0778126885005562,0.00383013719586557
252,18,0.0714285714285714,0.000263200518302559,0.0162234558064106,0.0749604538030502,0.00381559372580171
253,18,0.0711462450592885,0.000261203386850799,0.0161617878605926,0.0721959801732176,0.00380115966375328
254,18,0.0708661417322835,0.000259228864914423,0.0161005858562483,0.0695173816816247,0.00378683378795977
255,18,0.0705882352941176,0.000257276613067372,0.0160398445462346,0.06692277314278,0.00377261489463826
256,19,0.07421875,0.000268399715423584,0.016382909247859,0.0982629131253744,-0.0213882809546881
257,19,0.0739299610894942,0.000266398139855253,0.0163217076268157,0.0948776490597253,0.00373569920442078
258,19,0.0736434108527132,0.000264418832909658,0.0162609603932135,0.0915876844446726,0.00372186752704653
259,19,0.0733590733590734,0.000262461466080971,0.016200662519816,0.0883913255174481,0.00370813727722066
260,19,0.0730769230769231,0.000260525716886664,0.0161408090530389,0.0852868619093765,0.00369450735140326
261,19,0.0727969348659004,0.000258611268735748,0.0160813951116111,0.0822725694434084,0.00368097666186638
