n,xr,phat_r,variance_r,sigma_r,tail_probability,relative_gain
100,16,0.16,0.001344,0.0366606055596467,0.0398905271110844,0.00904624255337212
101,16,0.158415841584158,0.0013200026011816,0.0363318400467358,0.0431587709264601,0.00896781457622121
102,16,0.156862745098039,0.00129663553233673,0.0360088257561495,0.0466132286336495,0.00889066697890438
103,17,0.16504854368932,0.00133793710597432,0.0365778225975019,0.0267932775386668,-0.0158015938982748
104,17,0.163461538461538,0.00131482561447428,0.0362605241891824,0.0291397774958899,0.0086746117124298
105,17,0.161904761904762,0.00129230104740309,0.0359485889487069,0.0316356001776621,0.00860261255044465
106,17,0.160377358490566,0.00127034397522787,0.0356418851244975,0.0342856590925767,0.0085317347127872
107,17,0.158878504672897,0.001248935751643,0.0353402851098149,0.0370947215423912,0.00846195462526973
108,17,0.157407407407407,0.0012280584768582,0.0350436652885825,0.0400673887282873,0.00839324924263254
109,17,0.155963302752294,0.0012076949628155,0.0347519058875266,0.0432080762333904,0.00832559604291691
110,17,0.154545454545455,0.00118782870022539,0.0344648908343751,0.0465209949887691,0.00825897302094371
111,18,0.162162162162162,0.00122401437229779,0.0349859167708635,0.027228115178021,-0.0151175855740345
112,18,0.160714285714286,0.00120433217930029,0.0347034894398286,0.0295063169429076,0.00807260055195123
113,18,0.15929203539823,0.00118511577749486,0.034425510562588,0.0319236089208083,0.00801011315367913
114,18,0.157894736842105,0.00116635077999708,0.0341518781327921,0.0344844276098958,0.00794853657430663
115,18,0.156521739130435,0.00114802334182625,0.0338824931465536,0.0371930873779413,0.00788785276145187
116,18,0.155172413793103,0.00113012013612694,0.0336172594975697,0.0400537637656257,0.00782804405321144
117,18,0.153846153846154,0.00111262833156324,0.0333560838763072,0.0430704770471783,0.00776909317314807
118,18,0.152542372881356,0.00109553557082272,0.0330988756730908,0.0462470761326566,0.0077109832248355
119,18,0.151260504201681,0.00107882995017087,0.0328455468849412,0.049587222893823,0.00765369768603706
120,19,0.158333333333333,0.00111053240740741,0.0333246516472027,0.0297133496648912,-0.0145865972011284
121,19,0.15702479338843,0.00109395047644422,0.0330749221683774,0.0320514523977047,0.00749383613875702
122,19,0.155737704918033,0.00107773337856473,0.0328288497904621,0.0345234852870595,0.00743984752745696
